B2	找B2检票口
a6	找A6检票口
出发平台	找出发平台
b27	找B27检票口
D28号口	找D28检票口
B5口	找B5检票口
c28	找C28检票口
b10检票口	找B10检票口
买票,地名	买票
出口16	找16号到达口
存行李	找行李寄存处
北13桥洞	找北13桥柱
北7桥	找北7桥柱
南,1号桥	找南1桥柱
到达口12	找12号到达口
高铁	坐车
汇智光华商店	找汇智光华商店
西在哪里	找西边
北5柱	找北5桥柱
高铁,哪个口	找到达口
北面出站口	找北出站口
到达口15	找15号到达口
北路	找南站北路
西南区	找西南区
7号线	坐地铁
B18	找B18检票口
出站口	找到达口
北10桥柱	找北10桥柱
北8桥墩	找北8桥柱
坐高铁	坐车
西出站口	找西出站口
上三楼	坐车
北14柱	找北14桥柱
出去,东广场	找东广场
南,10号桥	找南10桥柱
B4检票口	找B4检票口
南4桥墩	找南4桥柱
南3桥	找南3桥柱
B22	找B22检票口
出发厅	找出发平台
南1	找南1桥柱
西门的出站口	找西出站口
动车,出站口	找到达口
候车	坐车
L出口	找L口
高铁票	人工窗口
C20口	找C20检票口
l入口	找L口
23号口	找23号到达口
1出站口	找1号出站口
南站北路	找南站北路
b1	找B1检票口
C22号口	找C22检票口
检票口D20	找D20检票口
A23口	找A23检票口
A23检票口	找A23检票口
a11	找A11检票口
改签	找改签处
打印车票	找自助取票机
2号线,地铁	坐地铁
185	找185服务台
c26号口	找C26检票口
神州租车	找p1停车场
d25口	找D25检票口
厕所	找卫生间
L口	找L口
北8桥洞	找北8桥柱
南停车场	找南1停车场
d21检票口	找D21检票口
西广场	找西广场
26号出口	找26号到达口
检票口b16	找B16检票口
A20号口	找A20检票口
北10	找北10桥柱
北6桥墩	找北6桥柱
北8柱	找北8桥柱
22号口	找22号到达口
南站北路	找南站北路
检票口a8	找A8检票口
b1检票口	找B1检票口
检票口b17	找B17检票口
1号到达口	找1号到达口
b13号口	找B13检票口
B25口	找B25检票口
b19口	找B19检票口
南7洞口	找南7桥柱
c25	找C25检票口
a18号口	找A18检票口
A2检票口	找A2检票口
坐高铁	坐车
到达口14	找14号到达口
A22	找A22检票口
A17口	找A17检票口
21号出口	找21号到达口
17号口	找17号到达口
检票口D25	找D25检票口
出发厅	找出发平台
18号到达口	找18号到达口
A28口	找A28检票口
北10柱	找北10桥柱
b11号口	找B11检票口
2号口	找2号到达口
8号口	找8号到达口
北1桥墩	找北1桥柱
24号口	找24号到达口
北3	找北3桥柱
南7桥洞	找南7桥柱
c26口	找C26检票口
南,5号桥	找南5桥柱
p10	找p10停车场
北,4号桥	找北4桥柱
检票口A16	找A16检票口
24号到达口	找24号到达口
c23检票口	找C23检票口
北7桥	找北7桥柱
餐饮	用餐
b20口	找B20检票口
检票口a10	找A10检票口
d27	找D27检票口
a5口	找A5检票口
西在哪边	找西边
c22口	找C22检票口
到达口9	找9号到达口
B20检票口	找B20检票口
检票口A3	找A3检票口
北在哪边	找北边
a8检票口	找A8检票口
D入口	找D口
c22号口	找C22检票口
检票口A19	找A19检票口
出站口东	找东出站口
B24号口	找B24检票口
公交车	坐公交
C25检票口	找C25检票口
d24口	找D24检票口
地名,坐车	坐车
核验护照	找处理12306账户
南面的出站口	找南出站口
b16号口	找B16检票口
回乡证核验	找处理12306账户
检票口B7	找B7检票口
北,12号桥	找北12桥柱
p5停车场	找p5停车场
2号出站口	找2号出站口
A23口	找A23检票口
北出站口	找北出站口
